match_id,batter,inning,Team,Opposition,Over,Ball,Runs,BF,Dots,Fours,Sixes,Out,Dismissal_Kind,Fall_of_Wicket,Strike_rate
335982,SC Ganguly,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,1,10,12,8,2,0,1,caught,61/1,83.33
335982,BB McCullum,1,Kolkata Knight Riders,Royal Challengers Bengaluru,0,2,158,73,23,10,13,0,,,216.44
335982,RT Ponting,1,Kolkata Knight Riders,Royal Challengers Bengaluru,5,3,20,20,9,1,1,1,caught,112/2,100.0
335982,DJ Hussey,1,Kolkata Knight Riders,Royal Challengers Bengaluru,13,2,12,12,4,1,0,1,caught,172/3,100.0
335982,Mohammad Hafeez,1,Kolkata Knight Riders,Royal Challengers Bengaluru,17,3,5,3,1,1,0,0,,,166.67
335982,R Dravid,2,Royal Challengers Bengaluru,Kolkata Knight Riders,0,1,2,3,1,0,0,1,bowled,4/1,66.67
335982,W Jaffer,2,Royal Challengers Bengaluru,Kolkata Knight Riders,0,2,6,16,13,0,0,1,caught,24/4,37.5
335982,V Kohli,2,Royal Challengers Bengaluru,Kolkata Knight Riders,1,2,1,5,4,0,0,1,bowled,9/2,20.0
335982,JH Kallis,2,Royal Challengers Bengaluru,Kolkata Knight Riders,2,3,8,7,4,0,1,1,caught,24/3,114.29
335982,CL White,2,Royal Challengers Bengaluru,Kolkata Knight Riders,4,6,6,10,5,0,0,1,caught,43/7,60.0
335982,MV Boucher,2,Royal Challengers Bengaluru,Kolkata Knight Riders,5,3,7,9,8,1,0,1,caught,38/5,77.78
335982,B Akhil,2,Royal Challengers Bengaluru,Kolkata Knight Riders,8,1,0,2,2,0,0,1,caught,38/6,0.0
335982,AA Noffke,2,Royal Challengers Bengaluru,Kolkata Knight Riders,8,3,9,10,6,1,0,1,run out,57/8,90.0
335982,P Kumar,2,Royal Challengers Bengaluru,Kolkata Knight Riders,9,2,18,15,12,1,2,0,,,120.0
335982,Z Khan,2,Royal Challengers Bengaluru,Kolkata Knight Riders,11,2,3,8,5,0,0,1,bowled,70/9,37.5
335982,SB Joshi,2,Royal Challengers Bengaluru,Kolkata Knight Riders,13,2,3,6,5,0,0,1,caught,82/10,50.0
335983,PA Patel,1,Chennai Super Kings,Punjab Kings,0,1,15,10,6,3,0,1,caught,26/1,150.0
335983,ML Hayden,1,Chennai Super Kings,Punjab Kings,0,4,25,16,9,4,1,1,bowled,57/2,156.25
335983,MEK Hussey,1,Chennai Super Kings,Punjab Kings,2,6,116,54,13,8,9,0,,,214.81
335983,MS Dhoni,1,Chennai Super Kings,Punjab Kings,6,3,2,3,1,0,0,1,lbw,62/3,66.67
335983,SK Raina,1,Chennai Super Kings,Punjab Kings,7,2,32,13,4,2,3,1,caught,128/4,246.15
335983,JDP Oram,1,Chennai Super Kings,Punjab Kings,12,4,13,10,4,0,1,1,bowled,167/5,130.0
335983,S Badrinath,1,Chennai Super Kings,Punjab Kings,15,4,31,14,2,3,2,0,,,221.43
335983,K Goel,2,Punjab Kings,Chennai Super Kings,0,1,24,19,8,2,1,1,caught,56/1,126.32
335983,JR Hopes,2,Punjab Kings,Chennai Super Kings,0,5,71,33,8,10,3,1,caught,111/2,215.15
335983,KC Sangakkara,2,Punjab Kings,Chennai Super Kings,6,1,54,33,8,5,2,1,caught,190/4,163.64
335983,Yuvraj Singh,2,Punjab Kings,Chennai Super Kings,10,4,23,13,3,1,2,1,caught,153/3,176.92
335983,SM Katich,2,Punjab Kings,Chennai Super Kings,14,5,21,17,4,0,1,0,,,123.53
335983,IK Pathan,2,Punjab Kings,Chennai Super Kings,17,6,3,5,2,0,0,0,,,60.0
335984,T Kohli,1,Rajasthan Royals,Delhi Capitals,0,1,7,12,11,0,1,1,caught,17/1,58.33
335984,YK Pathan,1,Rajasthan Royals,Delhi Capitals,1,1,10,5,1,2,0,1,run out,27/2,200.0
335984,SR Watson,1,Rajasthan Royals,Delhi Capitals,2,4,21,15,6,4,0,1,run out,41/3,140.0
335984,M Kaif,1,Rajasthan Royals,Delhi Capitals,4,1,9,19,11,0,0,1,caught,57/5,47.37
335984,DS Lehmann,1,Rajasthan Royals,Delhi Capitals,7,2,1,2,1,0,0,1,lbw,47/4,50.0
335984,RA Jadeja,1,Rajasthan Royals,Delhi Capitals,7,5,29,23,11,2,2,1,bowled,93/7,126.09
335984,M Rawat,1,Rajasthan Royals,Delhi Capitals,10,4,2,4,2,0,0,1,bowled,71/6,50.0
335984,D Salunkhe,1,Rajasthan Royals,Delhi Capitals,12,2,26,20,7,4,0,0,,,130.0
335984,SK Warne,1,Rajasthan Royals,Delhi Capitals,14,3,14,13,6,2,0,1,bowled,110/8,107.69
335984,SK Trivedi,1,Rajasthan Royals,Delhi Capitals,17,2,3,7,4,0,0,0,,,42.86
335984,G Gambhir,2,Delhi Capitals,Rajasthan Royals,0,1,58,46,18,7,1,0,,,126.09
335984,V Sehwag,2,Delhi Capitals,Rajasthan Royals,1,1,12,4,1,3,0,1,bowled,20/1,300.0
335984,S Dhawan,2,Delhi Capitals,Rajasthan Royals,1,5,52,41,18,8,0,0,,,126.83
335985,L Ronchi,1,Mumbai Indians,Royal Challengers Bengaluru,0,1,8,10,8,2,0,1,caught,9/1,80.0
335985,ST Jayasuriya,1,Mumbai Indians,Royal Challengers Bengaluru,1,1,29,16,8,5,1,1,run out,46/3,181.25
335985,DJ Thornely,1,Mumbai Indians,Royal Challengers Bengaluru,1,6,0,5,6,0,0,1,retired hurt,20/2,0.0
335985,RV Uthappa,1,Mumbai Indians,Royal Challengers Bengaluru,3,5,48,38,13,5,1,1,stumped,125/5,126.32
335985,PR Shah,1,Mumbai Indians,Royal Challengers Bengaluru,5,6,19,23,11,2,0,1,caught,97/4,82.61
335985,AM Nayar,1,Mumbai Indians,Royal Challengers Bengaluru,13,5,20,14,4,1,1,1,caught,152/6,142.86
335985,SM Pollock,1,Mumbai Indians,Royal Challengers Bengaluru,16,6,28,12,3,3,2,1,bowled,165/7,233.33
335985,Harbhajan Singh,1,Mumbai Indians,Royal Challengers Bengaluru,19,1,2,2,0,0,0,0,,,100.0
335985,S Chanderpaul,2,Royal Challengers Bengaluru,Mumbai Indians,0,1,16,11,5,3,0,1,caught,37/1,145.45
335985,R Dravid,2,Royal Challengers Bengaluru,Mumbai Indians,0,3,32,33,15,4,0,1,caught and bowled,68/2,96.97
335985,LRPL Taylor,2,Royal Challengers Bengaluru,Mumbai Indians,5,1,23,12,3,1,2,1,caught,76/3,191.67
335985,JH Kallis,2,Royal Challengers Bengaluru,Mumbai Indians,8,7,25,24,4,0,1,1,caught,161/5,104.17
335985,V Kohli,2,Royal Challengers Bengaluru,Mumbai Indians,10,1,23,14,6,3,1,1,caught,106/4,164.29
335985,MV Boucher,2,Royal Challengers Bengaluru,Mumbai Indians,13,5,39,19,4,4,2,0,,,205.26
335985,B Akhil,2,Royal Challengers Bengaluru,Mumbai Indians,18,5,3,5,4,0,0,0,,,60.0
335986,AC Gilchrist,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,1,23,21,14,1,2,1,caught,47/3,109.52
335986,Y Venugopal Rao,1,Sunrisers Hyderabad,Kolkata Knight Riders,0,2,14,13,8,1,0,1,caught,21/1,107.69
335986,VVS Laxman,1,Sunrisers Hyderabad,Kolkata Knight Riders,3,3,0,6,6,0,0,1,caught,22/2,0.0
335986,A Symonds,1,Sunrisers Hyderabad,Kolkata Knight Riders,4,5,32,39,26,2,2,1,caught,104/7,82.05
335986,RG Sharma,1,Sunrisers Hyderabad,Kolkata Knight Riders,8,2,0,3,3,0,0,1,caught,47/4,0.0
335986,SB Styris,1,Sunrisers Hyderabad,Kolkata Knight Riders,8,5,6,7,4,1,0,1,bowled,58/5,85.71
335986,AS Yadav,1,Sunrisers Hyderabad,Kolkata Knight Riders,11,5,10,10,5,0,1,1,caught,71/6,100.0
335986,SB Bangar,1,Sunrisers Hyderabad,Kolkata Knight Riders,14,5,14,10,4,1,1,1,caught,110/9,140.0
335986,WPUJC Vaas,1,Sunrisers Hyderabad,Kolkata Knight Riders,17,6,0,1,1,0,0,1,caught,105/8,0.0
335986,RP Singh,1,Sunrisers Hyderabad,Kolkata Knight Riders,18,1,1,2,1,0,0,1,run out,110/10,50.0
335986,WP Saha,2,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,10,17,11,1,0,1,caught,21/3,58.82
335986,BB McCullum,2,Kolkata Knight Riders,Sunrisers Hyderabad,0,2,5,5,3,1,0,1,caught,6/1,100.0
335986,RT Ponting,2,Kolkata Knight Riders,Sunrisers Hyderabad,2,1,0,1,1,0,0,1,lbw,16/2,0.0
335986,SC Ganguly,2,Kolkata Knight Riders,Sunrisers Hyderabad,2,2,14,29,25,1,0,1,bowled,68/4,48.28
335986,DJ Hussey,2,Kolkata Knight Riders,Sunrisers Hyderabad,4,3,38,43,25,1,3,0,,,88.37
335986,Mohammad Hafeez,2,Kolkata Knight Riders,Sunrisers Hyderabad,13,2,13,13,8,1,1,1,caught,88/5,100.0
335986,LR Shukla,2,Kolkata Knight Riders,Sunrisers Hyderabad,16,5,4,6,2,0,0,0,,,66.67
335987,K Goel,1,Punjab Kings,Rajasthan Royals,0,1,26,21,14,3,2,1,bowled,34/1,123.81
335987,JR Hopes,1,Punjab Kings,Rajasthan Royals,0,6,16,16,9,2,0,1,lbw,73/4,100.0
335987,KC Sangakkara,1,Punjab Kings,Rajasthan Royals,4,6,20,8,2,3,1,1,caught and bowled,56/2,250.0
335987,DPMD Jayawardene,1,Punjab Kings,Rajasthan Royals,6,4,2,4,3,0,0,1,stumped,64/3,50.0
335987,Yuvraj Singh,1,Punjab Kings,Rajasthan Royals,7,5,57,34,12,6,3,1,lbw,136/5,167.65
335987,IK Pathan,1,Punjab Kings,Rajasthan Royals,9,5,12,19,12,0,1,1,bowled,136/6,63.16
335987,S Sohal,1,Punjab Kings,Rajasthan Royals,16,6,4,4,1,0,0,1,run out,149/8,100.0
335987,B Lee,1,Punjab Kings,Rajasthan Royals,17,3,0,2,2,0,0,1,caught,136/7,0.0
335987,PP Chawla,1,Punjab Kings,Rajasthan Royals,17,5,24,10,2,4,0,0,,,240.0
335987,WA Mota,1,Punjab Kings,Rajasthan Royals,19,3,1,1,0,0,0,0,,,100.0
335987,M Kaif,2,Rajasthan Royals,Punjab Kings,0,1,5,7,6,1,0,1,caught,6/1,71.43
335987,YK Pathan,2,Rajasthan Royals,Punjab Kings,1,2,7,5,3,1,0,1,caught and bowled,19/2,140.0
335987,Kamran Akmal,2,Rajasthan Royals,Punjab Kings,1,5,15,9,6,2,1,1,caught,48/3,166.67
335987,SR Watson,2,Rajasthan Royals,Punjab Kings,2,5,76,48,20,5,5,0,,,158.33
335987,DS Lehmann,2,Rajasthan Royals,Punjab Kings,5,1,17,16,9,3,0,1,lbw,99/4,106.25
335987,RA Jadeja,2,Rajasthan Royals,Punjab Kings,11,3,36,24,13,5,1,0,,,150.0
